Identifier,Date,Crime Type,Address,Narrative
11409130,07/31/2014 14:33,[RMS] Burglary,1618 LORENZO DR  VALLEJO CA 94589,
11409725,07/31/2014 14:30,[RMS] Burglary,1190 ADMIRAL CALLAGHAN LN  VALLEJO CA 94591,Place: KOHLS
11410151,07/31/2014 05:32,[RMS] Burglary,614 TENNESSEE ST  VALLEJO CA 94590,Place: FRANKLIN MEDICAL
11409086,07/30/2014 21:53,[RMS] Burglary,113 COLOMA WY  VALLEJO CA 94589,
11409068,07/30/2014 16:24,[RMS] Burglary,2621 TENNESSEE ST  VALLEJO CA 94591,
11409065,07/30/2014 15:27,[RMS] Burglary,385 COTTA WY  VALLEJO CA 94589,
11409059,07/30/2014 13:05,[RMS] Burglary,6294 PEBBLE BEACH DR  VALLEJO CA 94591,Place: @POSS 459 INTERRUPT
11409055,07/30/2014 11:46,[RMS] Attempted Burglary-Felony,110 ANGELINA WY  VALLEJO CA 94589,Place: TRASK RESIDENCE
11409269,07/29/2014 21:08,[RMS] Burglary,316 JADE CIR  VALLEJO CA 94590,
11409015,07/29/2014 15:40,[RMS] Burglary,1410 VERVAIS AV  VALLEJO CA 94591,Place: @WALK THRU
11409171,07/29/2014 15:30,[RMS] Burglary,425 BAYWOOD DR  VALLEJO CA 94591,
11410184,07/29/2014 12:18,[RMS] Burglary,114 MALAGA ST  VALLEJO CA 94591,
11408982,07/29/2014 10:25,[RMS] Burglary,107 MOLINA ST  VALLEJO CA 94591,Place: TULEBUT RESIDENCE
11408960,07/28/2014 19:57,[RMS] Burglary,1044 PINE ST  VALLEJO CA 94590,Place: @TO THE LEFT
11408958,07/28/2014 18:39,[RMS] Burglary,160 CREEKVIEW DR  VALLEJO CA 94591,Place: 707-704-6308
11408920,07/28/2014 13:33,[RMS] Burglary,240 NICOLE WY  VALLEJO CA 94589,Place: NIEVES RESIDENCE
11408975,07/28/2014 09:12,[RMS] Burglary,150 GLEN COVE MARINA RD  VALLEJO CA 94591,Place: SERENTITY LAWRENCE STUDIOS
11408884,07/27/2014 14:12,[RMS] Burglary,900 TOPSAIL DR  VALLEJO CA 94591,
11408876,07/27/2014 07:30,[RMS] Burglary,1646 BROADWAY ST  VALLEJO CA 94590,Place: DR CONCEPION MD
11408897,07/27/2014 00:11,[RMS] Attempted Burglary-Felony,215 MONTEREY ST  VALLEJO CA 94590,
11408867,07/26/2014 19:10,[RMS] Burglary,924 TOBIN DR  VALLEJO CA 94589,Place: @ORACION RESIDENCE
11408883,07/26/2014 15:05,[RMS] Burglary,332 BENSON AV  VALLEJO CA 94590,
11408857,07/26/2014 11:07,[RMS] Burglary,145 VALLE VISTA K  VALLEJO CA 94590,Place: GRACEFUL COOKIE
11408848,07/26/2014 04:12,[RMS] Burglary,2801 REDWOOD PW  VALLEJO CA,Place: @ POSS 459// CRICKETT
11408865,07/25/2014 18:17,[RMS] Burglary,153 HARVARD AVE  VALLEJO CA 94589,
11410029,07/25/2014 12:05,[RMS] Burglary,1195 AZUAR DR  VALLEJO CA 94592,
11408938,07/25/2014 08:10,[RMS] Burglary,232 DE ANZA DR  VALLEJO CA 94589,
11408851,07/25/2014 07:52,[RMS] Burglary,232 DE ANZA DR  VALLEJO CA 94589,
11408806,07/24/2014 20:41,[RMS] Burglary,SONOMA BL & RYDER ST  VALLEJO CA 94590,Place: @GUN STOLEN
11409266,07/24/2014 16:20,[RMS] Burglary,635 MAINE ST  VALLEJO CA 94590,
11408792,07/24/2014 11:53,[RMS] Burglary,931 N CAMINO ALTO  VALLEJO CA 94589,
11408772,07/24/2014 09:44,[RMS] Attempted Burglary-Felony,100 DOGWOOD LN  VALLEJO CA 94591,Place: THE BANNEKER EDU FOUNDATION
11408821,07/24/2014 09:41,[RMS] Burglary,2443 SPRINGS RD  VALLEJO CA 94591,Place: Y2K HAIR CUTS
11408767,07/24/2014 07:43,[RMS] Attempted Burglary-Felony,1212 CORONEL AV  VALLEJO CA 94591,Place: @1224 CORONEL
11408727,07/23/2014 12:48,[RMS] Burglary,1820 CAROLINA ST  VALLEJO CA 94590,
11408720,07/23/2014 12:45,[RMS] Burglary,237 MELBA DR  VALLEJO CA 94589,Place: @SECCK NEEDED
11408779,07/23/2014 10:30,[RMS] Attempted Burglary-Felony,262 TEMPLE WY  VALLEJO CA 94591,
11408716,07/23/2014 10:00,[RMS] Burglary,1687 LEWIS BROWN DR  VALLEJO CA 94589,Place: @AFTER HOURS COCKTAIL BAR
11408751,07/22/2014 15:10,[RMS] Burglary,FARRAGUT AV & SACRAMENTO ST  VALLEJO CA 94590,
11408661,07/22/2014 08:44,[RMS] Attempted Burglary-Felony,272 GLENVIEW CIR  VALLEJO CA 94591,Place: @POSS 459J
11408647,07/21/2014 20:31,[RMS] Burglary,927 CAROLINA ST  VALLEJO CA 94590,
11408641,07/21/2014 19:19,[RMS] Burglary,1459 LOUISIANA ST  VALLEJO CA 94590,Place: HOUSE
11408613,07/21/2014 12:09,[RMS] Burglary,7 FLEET CT  VALLEJO CA 94591,
11408612,07/21/2014 08:57,[RMS] Burglary,1416 NAPA ST  VALLEJO CA 94590,
11408953,07/20/2014 23:36,[RMS] Burglary,1206 LOUISIANA ST  VALLEJO CA 94590,
