Identifier,Date,Crime Type,Address,Narrative
11501990,02/13/2015 12:27,[RMS] Burglary,2187 GARNET CIR  VALLEJO CA 94591,Place: @ATTEMPT ONLY-NO ENTRY
11501959,02/12/2015 14:50,[RMS] Burglary,300 HILARY WY  VALLEJO CA 94591,
11501898,02/11/2015 10:24,[RMS] Burglary,301 LOUISIANA ST  VALLEJO CA 94590,Place: @ATTEMPT 459 J/O 5 AGO
11501949,02/11/2015 04:44,[RMS] Burglary,46 ROTARY WY  VALLEJO CA 94591,
11501882,02/10/2015 18:19,[RMS] Burglary,910 DONNER PASS RD  VALLEJO CA 94589,
11501964,02/10/2015 16:52,[RMS] Burglary,1000 FAIRGROUNDS DR  VALLEJO CA 94589,Place: COURTYARD MARRIOTT
11501925,02/10/2015 14:57,[RMS] Burglary,869 BRENTWOOD AV  VALLEJO CA 94591,
11501867,02/10/2015 13:02,[RMS] Burglary,1130 MONTEREY ST  VALLEJO CA 94590,
11501854,02/10/2015 09:00,[RMS] Burglary,1120 GEORGIA ST  VALLEJO CA 94590,
11501843,02/09/2015 18:30,[RMS] Burglary,627 WARFORD AV  VALLEJO CA 94591,
11501838,02/09/2015 15:57,[RMS] Burglary,198 WELLINGTON PL  VALLEJO CA 94591,Place: @GUN STOLEN
11501945,02/09/2015 13:05,[RMS] Burglary,222 COUCH ST  VALLEJO CA 94590,Place: METRO SELF STORAGE
11501818,02/09/2015 13:03,[RMS] Burglary,265 MINI DR  VALLEJO CA 94589,Place: PUBLIC STORAGE IN A 168
11501938,02/08/2015 21:07,[RMS] Burglary,257 CAMPBELL AV  VALLEJO CA 94590,
11501763,02/08/2015 16:27,[RMS] Burglary,1539 TENNESSEE ST  VALLEJO CA 94590,
11501837,02/08/2015 12:10,[RMS] Burglary,249 13TH ST  VALLEJO CA 94590,
11501752,02/08/2015 11:01,[RMS] Burglary,61 MOSSWOOD AV  VALLEJO CA 94591,
11501730,02/07/2015 20:59,[RMS] Burglary,1375 LOUISIANA ST  VALLEJO CA 94590,Place: @488 OR 459 ATTEMPT
11501822,02/07/2015 13:20,[RMS] Burglary,104 MAHER CT  VALLEJO CA 94591,
11501799,02/07/2015 12:36,[RMS] Burglary,124 FARRAGUT AV  VALLEJO CA 94590,Place: EDGEWATER APARTMENTS
11501708,02/07/2015 09:31,[RMS] Burglary,3300 SONOMA BL  VALLEJO CA 94590,Place: AUTOLINX INC
11501789,02/07/2015 09:26,[RMS] Burglary,925 SACRAMENTO ST  VALLEJO CA 94590,Place: ST VINCENTS CHURCH
11501701,02/07/2015 07:21,[RMS] Attempted Burglary-Felony,1354 DEL MAR AV  VALLEJO CA 94589,Place: JOHNSON RESIDENCE
11501696,02/06/2015 22:15,[RMS] Burglary,1411 MARIPOSA ST  VALLEJO CA 94590,
11501804,02/06/2015 17:30,[RMS] Burglary,93 ROTARY WY  VALLEJO CA 94591,
11501681,02/06/2015 16:33,[RMS] Burglary,116 BAYWOOD DR  VALLEJO CA 94591,
11501677,02/06/2015 14:12,[RMS] Burglary,50 VENTURA ST  VALLEJO CA 94590,Place: @GONZALES RESIDENCE
11501673,02/06/2015 12:34,[RMS] Burglary,20 MONTE VISTA AV  VALLEJO CA 94590,Place: @GUN MISSING
11501621,02/04/2015 18:53,[RMS] Burglary,1113 DELWOOD AV  VALLEJO CA 94591,
11501619,02/04/2015 17:46,[RMS] Burglary,155 HILBORN AV  VALLEJO CA 94590,
11501618,02/04/2015 17:18,[RMS] Burglary,307 DRYDEN DR  VALLEJO CA 94591,
11501624,02/04/2015 17:13,[RMS] Burglary,739 INDIANA ST  VALLEJO CA 94590,
11501617,02/04/2015 14:55,[RMS] Burglary,341 LEXINGTON DR  VALLEJO CA 94591,Place: DEAF RESIDENT
11501590,02/04/2015 12:33,[RMS] Burglary,142 PAJARO WY  VALLEJO CA 94591,Place: @SOWALSKY RESIDENCE
11501581,02/04/2015 12:03,[RMS] Burglary,1030 NEBRASKA ST  VALLEJO CA 94590,
11501534,02/03/2015 18:15,[RMS] Burglary,160 LINCOLN RD E  VALLEJO CA 94591,Place: TRAVEL INN
11501515,02/03/2015 13:44,[RMS] Burglary,957 KEATS DRIVE  VALLEJO CA 94591,
11501476,02/02/2015 18:13,[RMS] Burglary,218 ECHO SUMMIT RD  VALLEJO CA 94589,
11501474,02/02/2015 18:03,[RMS] Burglary,185 HIDDEN TRAIL LN  VALLEJO CA 94591,
11501473,02/02/2015 16:15,[RMS] Burglary,171 HIDDEN TRAIL LN  VALLEJO CA 94591,
11501462,02/02/2015 12:27,[RMS] Burglary,112 ZINNIA CIR  VALLEJO CA 94591,
11501494,02/02/2015 09:22,[RMS] Burglary,1220 MONTEREY ST  VALLEJO CA 94590,Place: TAQUERIA LA OVEJA NEGRA
11501439,02/01/2015 19:43,[RMS] Burglary,803 AMADOR ST  VALLEJO CA 94590,
11501427,02/01/2015 13:05,[RMS] Burglary,1171 PORTER ST  VALLEJO CA 94590,Place: OFFICER SAFETY BIO HAZARD
11501414,02/01/2015 06:24,[RMS] Burglary,167 TAFT WY  VALLEJO CA 94591,
11501413,02/01/2015 06:06,[RMS] Burglary,205 COUCH ST  VALLEJO CA 94590,Place: VALLEJO GLASS COMPANY
11501401,01/31/2015 19:10,[RMS] Burglary,167 TAFT WY  VALLEJO CA 94591,
11501376,01/30/2015 19:00,[RMS] Burglary,1175 PORTER ST  VALLEJO CA 94590,
11501372,01/30/2015 17:21,[RMS] Burglary,4085 PENNY LN  VALLEJO CA 94591,
11501369,01/30/2015 15:55,[RMS] Burglary,2401 BROADWAY ST  VALLEJO CA 94589,
